Date of Notice|Business Type|region|company|Number Affected|Layoff Date|Reason for Dislocation|Classification
3/24/2020|Hotel|New York City Region|Soho Ludlow Tenant, Inc.|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/3/2020|Restaurant|New York City Region|Soho-Works 55 Water Inc.|8|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/2/2020|Restaurant|New York City Region|Altamarea Group, LLC|-----|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|General Contractor|New York City Region|StructureTech New York, Inc.|579 (total across all sites)|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/14/2020|Media Company|New York City Region|ALM Media LLC|5|4/14/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/15/2020|Internet Retail|New York City Region|Letgo Group B.V.|49|6/30/2020|Economic|Plant Closing
4/15/2020|Restaurant|New York City Region|Hearth Restaurant Investors, LLC|51|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/15/2020|Broth Shop|New York City Region|Brodofication, LLC|34|4/10/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Restaurant|Midtown (44th) - New York City Region|Strip House 44th Street, LLC dba Strip House|70|4/13/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Restaurant|Downtown (12th) - New York City Region|Strip House Restaurants, LLC dba Strip House|64|4/13/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Designer, Distribution and Licensor of Apparel|New York City Region|Perry Ellis International, Inc.|77|4/24/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Museum|New York City Region|New Museum of Contemporary Art|-----|4/2/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Restaurant|Dumbo Inc. - New York City Region|Soho|102|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/6/2020|Restaurant|New York City Region|Soho-Cecconis (Water Street), LLC|104|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
